"HARD_CORAL","human50km"
21.6,321442
29.4,346201
30,324365
18.8,343825
38.1,1013654
5.6,2973869
13.1,2859569
13.8,1405054
23.1,2868957
5.6,9269
6.3,9269
13.8,12647
16.3,12647
21.3,622668
72.5,131826
5,376480
9.4,3501816
11.3,3111300
16.9,291781
12.5,282495
48.1,164729
19.7,164784
9.1,164784
37.5,164784
6.6,164784
19.4,576732
9.4,577240
61.9,164784
36.3,164784
30.6,498341
10.6,416157
41.3,166915
55,28815
14.1,28815
28.4,16087
6.6,176556
1.9,162326
20,136311
24.4,1863484
37.8,84269
14.9,90336
23.8,73920
8.8,90836
8.8,90836
40,90816
20,90836
16.3,91434
49.7,91778
6.3,91616
11.9,91616
10.6,91616
5,91511
3.9,91612
3.1,91612
1.3,91612
42.5,91612
14.4,141159
8.5,91612
28.1,91727
25,91655
12.7,91576
15.6,91619
18.8,91576
20.6,91576
41.9,91576
22.5,91619
9.4,91619
20,83811
38.8,89498
6.3,89498
5,57745
11.4,57745
32.5,57745
40.6,57745
14.7,0
28.8,40415
15,1216
15.6,65133
25,64626
40.6,391776
20,87836
13.8,27583
10,27578
24.4,27583
38.1,105698
61.3,98864
6.3,100840
11.9,101341
43.1,98829
43.1,98829
48.8,100840
17.5,155888
10.9,155888
38.8,155888
10.6,155992
28.1,155888
30.3,155992
13.1,155890
25,155888
15.9,155890
14.4,165821
4.4,164930
22.5,393869
9.4,256335
7.5,165821
81.3,272200
36.3,272200
3.1,272200
40,272200
54.4,272200
43.8,272200
17.5,272200
25,0
14.4,272200
16.3,272200
24.4,272200
28.1,57858
25,46004
29.4,25582
35,0
23.1,0
20.6,0
21.3,0
36.3,0
1.3,656657
42.5,743453
17.5,743351
9.4,743351
21.9,740491
31.3,743351
25,282252
20,275420
30,273957
16.9,273957
0.6,365922
3.8,369766
11.3,379750
0.6,377353
6.9,426471
19.4,374606
38.8,0
31.3,0
14.4,0
27.5,2249
40,2249
1.9,2249
29.4,2249
13.4,645499
8.7,91612
12.8,91612
10.7,51322
24.7,2501674
35.6,164784
6.6,91612
3.2,91612
10,0
19.4,0
13.1,0
36.9,0
3.8,1040199
5.3,1119930
27.3,12384
24.8,48200
0.3,121
2.5,121
25.8,121
3,0
0.8,645448
1.5,1437687
0.8,1615251
0.5,2264349
2,3094709
2.5,356803
2.8,230099
3,38309
3.3,121
4,121
8.3,121
2,121
0.5,121
2.5,2210099
4.3,2521880
0.8,48200
27.5,14424
17.8,272200
12.1,20208
5.8,74934
34.8,344872
33.2,57657
6.1,1279
35.7,86
13.2,17618
1.1,586145
24.6,84269
12.6,89744
16,90198
3.2,91384
8.3,90816
23.3,12872
10.1,206080
1.6,69891
43.6,52651
36.8,49119
6.2,46061
28.8,47738
27.6,48548
6.6,38714
7.8,33127
11.6,33147
14.4,54620
21.6,25
7,32754
36.6,41664
1,58684
48.4,52880
7.6,34659
7.8,35102
26.1,73441
30.8,81173
24.9,67707
27.2,45675
42.4,59867
15.6,41508
13.1,630657
15.6,202853
7.2,619322
25,155888
23.1,365609
7.5,391438
16.9,202400
26.9,192254
15.6,90399
21.3,90399
32.5,371488
15,148980
7.8,46569
29.4,506002
23.3,303353
25,89498
21.3,368690
6.3,68912
7.5,92055
20,45922
10.9,41327
19.1,287284
18.1,202995
9.4,11424
15.6,12972
15.9,246525
21.9,273078
8.4,273899
17.5,91257
11.3,90078
11.3,196880
16.6,1559157
10,932956
1.9,3314873
4.1,464703
25.6,248314
29.4,69730
21.7,292642
18.5,292642
6.9,203128
24.4,289161
14.1,202400
11.3,210697
8.1,854682
30.6,273078
16.3,190431
26.9,199253
15.6,204832
22.5,203383
20,204832
10,636231
22.5,3949
12.5,36035
6.6,268182
5.3,795441
16.9,273648
30.6,279329
13.4,202600
20.9,202995
46.3,276585
36.3,277969
29.4,287037
16.3,287989
21.3,287037
16.6,301743
20.3,287037
20.6,287037
4.4,3208154
11.3,197408
34.4,296747
33.4,155888
14.4,1549473
9.7,200767
19.4,196795
14.7,236485
11.6,202853
12.8,40747
1.3,271524
11.9,203128
21.9,196795
30.9,40876
25,203655
24.7,39121
17.5,155888
21.9,873979
29.4,123058
17.5,52857
61.3,30692
48.1,26780
34.7,26780
20,1552964
16.9,785316
8.1,14192
16.9,441
27.5,351599
25.6,2531525
36.9,384518
13.8,775307
6.3,441
8.1,441
65,1291
61.3,441
55,0
